Language,Original purpose,"<a href=""/wiki/Imperative_programming"" title=""Imperative programming"">Imperative</a>","<a href=""/wiki/Object-oriented_programming"" title=""Object-oriented programming"">Object-oriented</a>","<a href=""/wiki/Functional_programming"" title=""Functional programming"">Functional</a>","<a href=""/wiki/Procedural_programming"" title=""Procedural programming"">Procedural</a>","<a href=""/wiki/Generic_programming"" title=""Generic programming"">Generic</a>","<a href=""/wiki/Reflective_programming"" title=""Reflective programming"">Reflective</a>","Other <a href=""/wiki/Programming_paradigm"" title=""Programming paradigm"">paradigms</a>","<a href=""/wiki/Standardization"" title=""Standardization"">Standardized</a>"
"<a href=""/wiki/COMAL"" title=""COMAL"">COMAL</a> 80",Education,Yes,No,No,Yes,No,No,,No
"<a href=""/wiki/Crystal_(programming_language)"" title=""Crystal (programming language)"">Crystal</a>",General purpose,Yes,"Yes<sup id=""cite_ref-21"" class=""reference""><a href=""#cite_note-21""><span class=""cite-bracket"">&#91;</span>21<span class=""cite-bracket"">&#93;</span></a></sup>",Yes,Yes,"Yes<sup id=""cite_ref-22"" class=""reference""><a href=""#cite_note-22""><span class=""cite-bracket"">&#91;</span>22<span class=""cite-bracket"">&#93;</span></a></sup>",No,"Concurrent<sup id=""cite_ref-23"" class=""reference""><a href=""#cite_note-23""><span class=""cite-bracket"">&#91;</span>23<span class=""cite-bracket"">&#93;</span></a></sup>",No
"<a href=""/wiki/Curry_(programming_language)"" title=""Curry (programming language)"">Curry</a>",Application,No,No,Yes,No,Yes,No,"<a href=""/wiki/Lazy_evaluation"" title=""Lazy evaluation"">lazy evaluation</a>, non-determinism",De facto<br />standard via Curry Language Report
"<a href=""/wiki/Cython"" title=""Cython"">Cython</a>","Application, general, <a href=""/wiki/Numerical_computing"" class=""mw-redirect"" title=""Numerical computing"">numerical computing</a>",Yes,Yes,Yes,No,No,Yes,"<a href=""/wiki/Aspect-oriented_programming"" title=""Aspect-oriented programming"">Aspect-oriented</a>",No
"<a href=""/wiki/D_(programming_language)"" title=""D (programming language)"">D</a>","Application, system",Yes,Yes,Yes,Yes,Yes,Yes,"Generative, concurrent",No
"<a href=""/wiki/Dart_(programming_language)"" title=""Dart (programming language)"">Dart</a>","Application, web, server-side, mobile, <a href=""/wiki/Internet_of_things"" title=""Internet of things"">IoT</a>",Yes,Yes,Yes,Yes,Yes,No,Structured,Yes<br />ECMA-408 standard
"<a href=""/wiki/Delphi_(software)"" title=""Delphi (software)"">Delphi</a>, <a href=""/wiki/Object_Pascal"" title=""Object Pascal"">Object Pascal</a>",General purpose,Yes,Yes,Yes,Yes,Yes,Yes,,"Unknown
<p><br />
</p>"
"<a href=""/wiki/Dylan_(programming_language)"" title=""Dylan (programming language)"">Dylan</a>",Application,No,Yes,Yes,No,No,No,,No
"<a href=""/wiki/Eiffel_(programming_language)"" title=""Eiffel (programming language)"">Eiffel</a>","General, application, business, client-side, server-side, web (EWF)",Yes,Yes,"Yes<sup id=""cite_ref-24"" class=""reference""><a href=""#cite_note-24""><span class=""cite-bracket"">&#91;</span>24<span class=""cite-bracket"">&#93;</span></a></sup><sup id=""cite_ref-25"" class=""reference""><a href=""#cite_note-25""><span class=""cite-bracket"">&#91;</span>25<span class=""cite-bracket"">&#93;</span></a></sup>",No,Yes,"Yes <a rel=""nofollow"" class=""external text"" href=""http://se.inf.ethz.ch/old/people/leitner/erl_g"">Erl-G</a>","Distributed <a rel=""nofollow"" class=""external text"" href=""https://docs.eiffel.com/book/solutions/concurrent-eiffel-scoop:"">SCOOP</a>, <a rel=""nofollow"" class=""external text"" href=""https://docs.eiffel.com/book/method/void-safe-programming-eiffel:"">Void-safe</a>","Yes<br />2005, ECMA, ISO<sup id=""cite_ref-26"" class=""reference""><a href=""#cite_note-26""><span class=""cite-bracket"">&#91;</span>26<span class=""cite-bracket"">&#93;</span></a></sup>"
"<a href=""/wiki/ELAN_(programming_language)"" title=""ELAN (programming language)"">ELAN</a>",Education,Yes,No,No,Yes,No,No,"<a href=""/wiki/Structured_programming"" title=""Structured programming"">Structured</a>, <a href=""/wiki/Top-down_and_bottom-up_design"" class=""mw-redirect"" title=""Top-down and bottom-up design"">stepwise refinement</a>",No
